#format: frame checksums
#version: 2
#hash: SHA256
#software: Lavf62.3.100
#tb 0: 1/30
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1920x1080
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,         51,         51,        1,  3110400, 139f65709cbaa8571949afdb850df67bdb76006d82a0100a5805911f741944a0
0,         52,         52,        1,  3110400, 46b7ee32b84b7e291db441ea3c7514674635e3f4f853ef45fd308eee175a7309
0,         53,         53,        1,  3110400, d56444d66558448a5acdca5d75288246d43c2e02e8b4cb4d5ba83d8b6478f90e
0,         54,         54,        1,  3110400, 7be7ebeda43e069c5d0a859ca5228101da8ef4103be17e52ab2192b73c2893a9
0,         55,         55,        1,  3110400, 065de3e38e536c191f0c216679063cf1f09ad58238e88b7a5c7c698393455c54
0,         56,         56,        1,  3110400, 877e4d4ab0f4c64f813ef686a982454813c40f9749919d2c216289d81e252e1f
0,         57,         57,        1,  3110400, 4a8db5799bbe6e9bd5f70cc01f516d712cfef61361e4f0ed99322fd1bcba755d
0,         58,         58,        1,  3110400, 3a3a07d46028667c6b235dc359eaa7165e45527347b7b83e2d9dd77204f91030
0,         59,         59,        1,  3110400, 49c51f1c6d27e98c5cb2e8dd3c0008cf14a3b99d9fc5bb1bb0bdfad0bf79f13d
0,         60,         60,        1,  3110400, 1efb2d76b39c57439f641562cfe35dda288d753533c3322538554c475cfd267b
0,         61,         61,        1,  3110400, a1c49c63091767af1a96f3a3e4919410ba8a538172d21e7c3e1f036a2ddd6c98
0,         62,         62,        1,  3110400, 820fafc30ea77c5d469b1857fb1f8281ba006a02f9188cc7a1e2b8e036b58dc1
0,         63,         63,        1,  3110400, 12ea48f1d315745afb46755e92a18fa42f1ea4b5f987472b4486cc3e1122bb78
0,         64,         64,        1,  3110400, 07a809289f557de489bfaf4361c19121c613c5fab6199c662db610c955cfdb79
0,         65,         65,        1,  3110400, d2fee374d7d92eb054af547e018218df603bfa4197943070551f8306d4f85716
0,         66,         66,        1,  3110400, db5aa45037807f4d2bf0a8443385a79e73d09cc91482febcea9d24864c3d7d69
0,         67,         67,        1,  3110400, e1139c0287b476db6f9bd7b2a860b94bfe3d5037c7f6bb99596e380201df4a9d
0,         68,         68,        1,  3110400, c137acd39377dfbd3e96b697a26344d0166ae2c0c0ce1be1876db5ef8115c930
0,         69,         69,        1,  3110400, 024c4227c4b7068b3e9aad4158deb5102927c70929fa063c040ad87618e27f99
0,         70,         70,        1,  3110400, 45fcd21808e555496da6413d9c732155182c712c2374cb1841d7b8df1b1fadd7
0,         71,         71,        1,  3110400, d3541b83a8f39993c69f57a64dc897bbc0032bf52403c9507e093edd7d0341a6
0,         72,         72,        1,  3110400, 8f9271a556f581b523ab9e394b538e4fc3278aaf77819586b5eb73f809623060
0,         73,         73,        1,  3110400, 31e2b41eab95c0e9afcf61c63f666fa28fb2a45151c9c996715528396834e0dc
0,         74,         74,        1,  3110400, 2943d8391b69b1ad8a7da16513d8668dabe9e6a06e9021b3f84b79f0b3eb3537
0,         75,         75,        1,  3110400, cc829c269a88d9c6d8257f6485084a6993b75e6d17aaaf5414f1ff256db8a69a
0,         76,         76,        1,  3110400, a4ff631c9a6de6d74ee9a18615464d0312d9ee2e1293115dfe069f224f3d8692
0,         77,         77,        1,  3110400, 43e5c0e0a3a40661b029d54aeaebb75fba4d460a3183bfaf2048d31f1025a17b
0,         78,         78,        1,  3110400, 8c9e5eb7e5a18ffab5cdc14c7c413cf07b2bde826bdb9a24335f77aaa605a2f5
0,         79,         79,        1,  3110400, 628165365e4dfdb86dc05e0225c49fb8b344533738c9a3210f8e8d5a5d0fd33f
0,         80,         80,        1,  3110400, 16cb5fd289e71bfc4a8a163f4339fb5c9d868e266a4c8f22d9243e856590c970
0,         81,         81,        1,  3110400, dc4aaa538f978ccf2c25f9bd6a96c73baed0b3bde3924f4686ebef59cebdd23c
0,         82,         82,        1,  3110400, 21ea0b3cd8001ff70e2a8967efb5e9f08fe04c3a1ee5158a52f44f8a48e39072
0,         83,         83,        1,  3110400, d1702ddb684ec325a9ab6a855f861499946dd999e8bc6a338364fbcee5985225
0,         84,         84,        1,  3110400, 179e53b62a1e253eae824fae86443cfba13e27006aad72e9eb5de41021be5862
0,         85,         85,        1,  3110400, da3cde7ab9d62a0d1b3c0c19521fae0d9c818e4f7c72b60d42dae0dcf29a3ffe
0,         86,         86,        1,  3110400, fd45163b16e34f2060a98dbb100776b2f477ad01de6b89a162905f923b9237d1
