minuteIndex,sourceStartMs,sourceEndMs,durationMs,commentCount,commentRatePerMinute,relativeToStreamBaseline,velocityRank,isFullMinute
92,5520000,5580000,60000,336,336,0.961974649766511,47,true
93,5580000,5640000,60000,470,470,1.3456193017567268,27,true
94,5640000,5700000,60000,541,541,1.5488937069157216,16,true
95,5700000,5760000,60000,422,422,1.2081943517900824,34,true
96,5760000,5820000,60000,299,299,0.8560429175005559,60,true
97,5820000,5880000,60000,480,480,1.3742494996664443,24,true
98,5880000,5940000,60000,333,333,0.9533855903935958,52,true
99,5940000,6000000,60000,446,446,1.2769068267734045,31,true
100,6000000,6060000,60000,383,383,1.0965365799421838,40,true
101,6060000,6120000,60000,358,358,1.0249610851678899,44,true
102,6120000,6180000,60000,680,680,1.946853457860796,4,true
103,6180000,6182127,2127,22,620.592383638928,1.7767682764845893,,false
