minuteIndex,sourceStartMs,sourceEndMs,durationMs,commentCount,commentRatePerMinute,relativeToStreamBaseline,velocityRank,isFullMinute
92,5520000,5580000,60000,262,262,0.44559736812719575,197,true
93,5580000,5640000,60000,566,566,0.9626263754198198,119,true
94,5640000,5700000,60000,509,509,0.8656834365524528,146,true
95,5700000,5760000,60000,707,707,1.2024325926180435,34,true
96,5760000,5820000,60000,577,577,0.9813346618679082,109,true
97,5820000,5880000,60000,677,677,1.1514099932141661,54,true
98,5880000,5940000,60000,470,470,0.7993540573274122,157,true
99,5940000,6000000,60000,574,574,0.9762324019275205,113,true
100,6000000,6060000,60000,619,619,1.0527663010333366,85,true
101,6060000,6120000,60000,478,478,0.8129600838351129,154,true
102,6120000,6180000,60000,438,438,0.7449299512966097,170,true
103,6180000,6240000,60000,528,528,0.8979977495082418,138,true
104,6240000,6300000,60000,623,623,1.059569314287187,83,true
105,6300000,6360000,60000,654,654,1.1122926670045268,67,true
106,6360000,6420000,60000,683,683,1.1616145130949416,46,true
107,6420000,6480000,60000,473,473,0.8044563172678,155,true
108,6480000,6540000,60000,707,707,1.2024325926180435,35,true
109,6540000,6600000,60000,680,680,1.1565122531545537,50,true
110,6600000,6660000,60000,770,770,1.309580051366186,7,true
111,6660000,6720000,60000,671,671,1.1412054733333907,60,true
112,6720000,6780000,60000,652,652,1.1088911603776017,69,true
113,6780000,6840000,60000,745,745,1.2670612185296215,16,true
114,6840000,6900000,60000,628,628,1.0680730808544998,81,true
115,6900000,6960000,60000,666,666,1.1327017067660776,63,true
116,6960000,7020000,60000,686,686,1.1667167730353294,45,true
117,7020000,7080000,60000,496,496,0.8435736434774392,149,true
118,7080000,7140000,60000,597,597,1.0153497281371597,92,true
119,7140000,7200000,60000,456,456,0.7755435109389361,163,true
120,7200000,7260000,60000,549,549,0.9337135690909559,127,true
121,7260000,7320000,60000,687,687,1.168417526348792,44,true
122,7320000,7380000,60000,721,721,1.2262431390065196,25,true
123,7380000,7440000,60000,705,705,1.1990310859911184,37,true
124,7440000,7500000,60000,674,674,1.1463077332737783,59,true
125,7500000,7560000,60000,471,471,0.8010548106408748,156,true
126,7560000,7620000,60000,605,605,1.0289557546448604,89,true
127,7620000,7680000,60000,441,441,0.7500322112369974,168,true
128,7680000,7740000,60000,604,604,1.027255001331398,90,true
129,7740000,7800000,60000,580,580,0.9864369218082959,106,true
130,7800000,7860000,60000,706,706,1.200731839304581,36,true
131,7860000,7920000,60000,553,553,0.9405165823448063,126,true
132,7920000,7980000,60000,589,589,1.001743701629459,98,true
133,7980000,8040000,60000,592,592,1.0068459615698468,94,true
134,8040000,8100000,60000,439,439,0.7466307046100723,169,true
135,8100000,8160000,60000,554,554,0.9422173356582688,125,true
136,8160000,8220000,60000,678,678,1.1531107465276287,52,true
137,8220000,8280000,60000,722,722,1.2279438923199821,24,true
138,8280000,8340000,60000,708,708,1.204133345931506,31,true
139,8340000,8400000,60000,549,549,0.9337135690909559,128,true
140,8400000,8460000,60000,449,449,0.7636382377446981,166,true
141,8460000,8520000,60000,416,416,0.7075133784004329,176,true
142,8520000,8580000,60000,592,592,1.0068459615698468,95,true
143,8580000,8640000,60000,485,485,0.8248653570293509,152,true
144,8640000,8700000,60000,524,524,0.8911947362543915,140,true
145,8700000,8760000,60000,302,302,0.513627500665699,193,true
146,8760000,8820000,60000,413,413,0.7024111184600452,177,true
147,8820000,8880000,60000,263,263,0.44729812144065834,196,true
148,8880000,8940000,60000,520,520,0.8843917230005411,141,true
149,8940000,9000000,60000,467,467,0.7942517973870244,159,true
150,9000000,9060000,60000,520,520,0.8843917230005411,142,true
151,9060000,9120000,60000,350,350,0.5952636597119028,189,true
152,9120000,9180000,60000,708,708,1.204133345931506,32,true
153,9180000,9240000,60000,675,675,1.1480084865872409,57,true
154,9240000,9300000,60000,361,361,0.6139719461599911,187,true
155,9300000,9360000,60000,343,343,0.5833583865176647,190,true
156,9360000,9420000,60000,434,434,0.7381269380427594,171,true
157,9420000,9480000,60000,410,410,0.6973088585196575,180,true
158,9480000,9540000,60000,635,635,1.0799783540487378,79,true
