minuteIndex,sourceStartMs,sourceEndMs,durationMs,commentCount,commentRatePerMinute,relativeToStreamBaseline,velocityRank,isFullMinute
92,5520000,5580000,60000,131,131,0.4877159163926371,176,true
93,5580000,5640000,60000,351,351,1.3067808141512642,49,true
94,5640000,5700000,60000,340,340,1.265827569263333,57,true
95,5700000,5760000,60000,308,308,1.146690856862078,71,true
96,5760000,5820000,60000,407,407,1.5152700608534604,33,true
97,5820000,5880000,60000,150,150,0.5584533393808822,160,true
98,5880000,5940000,60000,189,189,0.7036512076199115,129,true
99,5940000,6000000,60000,117,117,0.4355936047170881,184,true
100,6000000,6060000,60000,132,132,0.4914389386551763,174,true
101,6060000,6120000,60000,335,335,1.247212457950637,59,true
102,6120000,6180000,60000,178,178,0.6626979627319802,139,true
103,6180000,6240000,60000,243,243,0.9046944097970291,92,true
104,6240000,6300000,60000,138,138,0.5137770722304116,169,true
105,6300000,6360000,60000,308,308,1.146690856862078,72,true
106,6360000,6420000,60000,419,419,1.559946328003931,28,true
107,6420000,6480000,60000,108,108,0.40208640435423515,190,true
108,6480000,6540000,60000,346,346,1.2881657028385682,55,true
109,6540000,6600000,60000,215,215,0.8004497864459311,112,true
110,6600000,6660000,60000,174,174,0.6478058736818233,143,true
111,6660000,6720000,60000,233,233,0.867464187171637,98,true
112,6720000,6780000,60000,298,298,1.109460634236686,78,true
113,6780000,6840000,60000,377,377,1.403579392977284,39,true
114,6840000,6900000,60000,157,157,0.5845144952186567,156,true
115,6900000,6960000,60000,140,140,0.52122311675549,167,true
116,6960000,7020000,60000,217,217,0.8078958309710096,110,true
117,7020000,7080000,60000,187,187,0.6962051630948332,134,true
118,7080000,7140000,60000,134,134,0.49888498318025476,173,true
119,7140000,7200000,60000,96,96,0.3574101372037646,194,true
120,7200000,7260000,60000,135,135,0.5026080054427939,172,true
121,7260000,7320000,60000,167,167,0.6217447178440488,147,true
122,7320000,7380000,60000,123,123,0.45793173829232336,179,true
123,7380000,7440000,60000,188,188,0.6999281853573723,132,true
124,7440000,7500000,60000,169,169,0.6291907623691273,146,true
125,7500000,7560000,60000,165,165,0.6142986733189704,148,true
126,7560000,7620000,60000,389,389,1.4482556601277545,37,true
127,7620000,7680000,60000,349,349,1.2993347696261859,51,true
128,7680000,7740000,60000,111,111,0.4132554711418528,189,true
129,7740000,7800000,60000,141,141,0.5249461390180292,166,true
130,7800000,7860000,60000,117,117,0.4355936047170881,185,true
131,7860000,7920000,60000,247,247,0.919586498847186,89,true
132,7920000,7980000,60000,121,121,0.45048569376724495,180,true
133,7980000,8040000,60000,100,100,0.37230222625392145,193,true
134,8040000,8100000,60000,147,147,0.5472842725932645,162,true
135,8100000,8160000,60000,147,147,0.5472842725932645,163,true
136,8160000,8220000,60000,121,121,0.45048569376724495,181,true
137,8220000,8280000,60000,163,163,0.606852628793892,150,true
138,8280000,8340000,60000,481,481,1.7907737082813622,14,true
139,8340000,8400000,60000,209,209,0.7781116528706958,114,true
140,8400000,8460000,60000,408,408,1.5189930831159995,32,true
141,8460000,8520000,60000,301,301,1.1206297010243036,76,true
142,8520000,8580000,60000,417,417,1.5525002834788524,29,true
143,8580000,8640000,60000,244,244,0.9084174320595684,91,true
144,8640000,8700000,60000,162,162,0.6031296065313527,151,true
145,8700000,8760000,60000,132,132,0.4914389386551763,175,true
146,8760000,8820000,60000,234,234,0.8711872094341762,97,true
147,8820000,8880000,60000,200,200,0.7446044525078429,119,true
148,8880000,8940000,60000,210,210,0.781834675133235,113,true
149,8940000,9000000,60000,325,325,1.2099822353252447,62,true
150,9000000,9060000,60000,95,95,0.3536871149412254,195,true
151,9060000,9120000,60000,236,236,0.8786332539592546,96,true
152,9120000,9180000,60000,472,472,1.7572665079185092,19,true
153,9180000,9240000,60000,307,307,1.1429678345995389,73,true
154,9240000,9300000,60000,112,112,0.416978493404392,186,true
155,9300000,9360000,60000,112,112,0.416978493404392,187,true
156,9360000,9420000,60000,105,105,0.3909173375666175,192,true
157,9420000,9480000,60000,198,198,0.7371584079827644,120,true
158,9480000,9540000,60000,138,138,0.5137770722304116,170,true
159,9540000,9600000,60000,275,275,1.0238311221982839,85,true
160,9600000,9660000,60000,208,208,0.7743886306081567,115,true
161,9660000,9720000,60000,233,233,0.867464187171637,99,true
162,9720000,9780000,60000,165,165,0.6142986733189704,149,true
163,9780000,9840000,60000,206,206,0.7669425860830782,116,true
164,9840000,9900000,60000,119,119,0.44303964924216654,182,true
165,9900000,9960000,60000,205,205,0.763219563820539,117,true
166,9960000,10020000,60000,66,66,0.24571946932758815,197,true
167,10020000,10080000,60000,162,162,0.6031296065313527,152,true
168,10080000,10140000,60000,216,216,0.8041728087084703,111,true
169,10140000,10200000,60000,220,220,0.8190648977586272,109,true
170,10200000,10260000,60000,186,186,0.6924821408322939,135,true
171,10260000,10320000,60000,247,247,0.919586498847186,90,true
172,10320000,10380000,60000,149,149,0.554730317118343,161,true
173,10380000,10440000,60000,160,160,0.5956835620062744,154,true
174,10440000,10500000,60000,312,312,1.1615829459122349,69,true
175,10500000,10560000,60000,181,181,0.6738670295195979,138,true
176,10560000,10620000,60000,345,345,1.284442680576029,56,true
177,10620000,10680000,60000,90,90,0.3350720036285293,196,true
178,10680000,10740000,60000,383,383,1.4259175265525192,38,true
179,10740000,10800000,60000,374,374,1.3924103261896663,40,true
180,10800000,10860000,60000,190,190,0.7073742298824508,127,true
181,10860000,10920000,60000,118,118,0.4393166269796273,183,true
182,10920000,10980000,60000,189,189,0.7036512076199115,130,true
183,10980000,11040000,60000,321,321,1.1950901462750878,65,true
184,11040000,11100000,60000,348,348,1.2956117473636466,53,true
185,11100000,11160000,60000,227,227,0.8451260535964017,104,true
186,11160000,11220000,60000,226,226,0.8414030313338625,105,true
187,11220000,11280000,60000,238,238,0.8860792984843331,94,true
188,11280000,11340000,60000,162,162,0.6031296065313527,153,true
189,11340000,11400000,60000,226,226,0.8414030313338625,106,true
190,11400000,11460000,60000,403,403,1.5003779718033035,35,true
191,11460000,11520000,60000,239,239,0.8898023207468723,93,true
192,11520000,11580000,60000,314,314,1.1690289904373135,68,true
193,11580000,11640000,60000,368,368,1.370072192614431,44,true
194,11640000,11700000,60000,487,487,1.8131118418565975,13,true
195,11700000,11760000,60000,471,471,1.75354348565597,20,true
196,11760000,11820000,60000,508,508,1.891295309369921,10,true
197,11820000,11824121,4121,36,524.1446250909974,1.9514021080040533,,false
