minuteIndex,sourceStartMs,sourceEndMs,durationMs,commentCount,commentRatePerMinute,relativeToStreamBaseline,velocityRank,isFullMinute
92,5520000,5580000,60000,435,435,0.804168354943274,119,true
93,5580000,5640000,60000,480,480,0.887358184764992,107,true
94,5640000,5700000,60000,576,576,1.0648298217179903,64,true
95,5700000,5760000,60000,338,338,0.6248480551053485,139,true
96,5760000,5820000,60000,357,357,0.6599726499189628,136,true
97,5820000,5880000,60000,437,437,0.807865680713128,118,true
98,5880000,5940000,60000,656,656,1.2127228525121556,25,true
99,5940000,6000000,60000,667,667,1.2330581442463533,21,true
100,6000000,6060000,60000,533,533,0.9853373176661264,81,true
101,6060000,6120000,60000,613,613,1.1332303484602917,48,true
102,6120000,6180000,60000,605,605,1.1184410453808753,51,true
103,6180000,6240000,60000,615,615,1.136927674230146,47,true
104,6240000,6300000,60000,686,686,1.2681827390599676,11,true
105,6300000,6360000,60000,623,623,1.1517169773095624,42,true
106,6360000,6420000,60000,644,644,1.190538897893031,33,true
107,6420000,6480000,60000,695,695,1.2848207050243112,7,true
108,6480000,6540000,60000,588,588,1.087013776337115,57,true
109,6540000,6600000,60000,691,691,1.277426053484603,8,true
110,6600000,6660000,60000,688,688,1.2718800648298219,10,true
111,6660000,6720000,60000,504,504,0.9317260940032416,101,true
112,6720000,6780000,60000,467,467,0.8633255672609401,111,true
113,6780000,6840000,60000,432,432,0.7986223662884927,121,true
114,6840000,6900000,60000,242,242,0.44737641815235013,145,true
115,6900000,6960000,60000,422,422,0.780135737439222,124,true
116,6960000,7020000,60000,394,394,0.7283731766612642,129,true
117,7020000,7080000,60000,510,510,0.9428180713128039,100,true
118,7080000,7140000,60000,571,571,1.055586507293355,68,true
119,7140000,7200000,60000,440,440,0.8134116693679093,117,true
120,7200000,7260000,60000,475,475,0.8781148703403566,108,true
121,7260000,7320000,60000,517,517,0.9557587115072934,94,true
122,7320000,7380000,60000,453,453,0.8374442868719612,114,true
123,7380000,7440000,60000,359,359,0.6636699756888169,134,true
124,7440000,7500000,60000,368,368,0.6803079416531604,131,true
125,7500000,7560000,60000,334,334,0.6174534035656403,140,true
