minuteIndex,sourceStartMs,sourceEndMs,durationMs,commentCount,commentRatePerMinute,relativeToStreamBaseline,velocityRank,isFullMinute
92,5520000,5580000,60000,412,412,0.9844956932481245,66,true
93,5580000,5640000,60000,292,292,0.6977493748263407,104,true
94,5640000,5700000,60000,336,336,0.8028896915809948,92,true
95,5700000,5760000,60000,308,308,0.7359822172825785,99,true
96,5760000,5820000,60000,260,260,0.621283689913865,113,true
97,5820000,5880000,60000,352,352,0.8411225340372326,88,true
98,5880000,5940000,60000,276,276,0.6595165323701028,105,true
99,5940000,6000000,60000,402,402,0.9606001667129758,71,true
100,6000000,6060000,60000,244,244,0.5830508474576271,116,true
101,6060000,6120000,60000,221,221,0.5280911364267852,121,true
102,6120000,6180000,60000,405,405,0.9677688246735204,68,true
103,6180000,6240000,60000,371,371,0.886524034454015,81,true
104,6240000,6300000,60000,374,374,0.8936926924145596,79,true
105,6300000,6360000,60000,358,358,0.8554598499583218,85,true
106,6360000,6420000,60000,226,226,0.5400388996943596,120,true
107,6420000,6480000,60000,199,199,0.4755209780494582,126,true
108,6480000,6540000,60000,242,242,0.5782717421505974,117,true
109,6540000,6600000,60000,361,361,0.8626285079188664,84,true
110,6600000,6660000,60000,263,263,0.6284523478744095,111,true
111,6660000,6720000,60000,265,265,0.6332314531814393,109,true
112,6720000,6780000,60000,159,159,0.37993887190886355,129,true
113,6780000,6840000,60000,198,198,0.47313142539594333,127,true
114,6840000,6900000,60000,295,295,0.7049180327868853,103,true
115,6900000,6960000,60000,208,208,0.497026951931092,124,true
116,6960000,7020000,60000,303,303,0.7240344540150042,102,true
117,7020000,7080000,60000,206,206,0.49224784662406224,125,true
118,7080000,7140000,60000,273,273,0.6523478744095582,107,true
119,7140000,7200000,60000,247,247,0.5902195054181717,115,true
120,7200000,7260000,60000,232,232,0.5543762156154487,119,true
121,7260000,7320000,60000,171,171,0.40861350375104194,128,true
122,7320000,7380000,60000,265,265,0.6332314531814393,110,true
123,7380000,7440000,60000,370,370,0.8841344818005001,82,true
124,7440000,7500000,60000,307,307,0.7335926646290636,100,true
125,7500000,7560000,60000,263,263,0.6284523478744095,112,true
126,7560000,7620000,60000,548,548,1.309474854126146,25,true
127,7620000,7680000,60000,587,587,1.402667407613226,14,true
128,7680000,7740000,60000,501,501,1.1971658794109474,39,true
129,7740000,7760401,20401,229,673.4963972354296,1.6093551031466227,,false
